Substratos	Cultivares	Bloco	MSRaiz
S1	C1	B1	9.7
S1	C1	B2	17.8
S1	C1	B3	9.5
S1	C2	B1	10.8
S1	C2	B2	20.5
S1	C2	B3	11
S1	C3	B1	20.1
S1	C3	B2	11.5
S1	C3	B3	10.2
S2	C1	B1	16
S2	C1	B2	26.9
S2	C1	B3	15.4
S2	C2	B1	21.7
S2	C2	B2	31.3
S2	C2	B3	22
S2	C3	B1	27.4
S2	C3	B2	30.8
S2	C3	B3	35.5
S3	C1	B1	21.6
S3	C1	B2	31.9
S3	C1	B3	21.1
S3	C2	B1	40.2
S3	C2	B2	49.6
S3	C2	B3	40.3
S3	C3	B1	29.7
S3	C3	B2	40.5
S3	C3	B3	28.9
S4	C1	B1	27.4
S4	C1	B2	36.6
S4	C1	B3	28.2
S4	C2	B1	40.4
S4	C2	B2	50
S4	C2	B3	40.1
S4	C3	B1	33.7
S4	C3	B2	43.4
S4	C3	B3	33.1
