Substratos;Cultivares;Bloco;MSRaiz
S1;C1;B1;9.70
S1;C1;B2;17.80
S1;C1;B3;9.50
S1;C2;B1;10.80
S1;C2;B2;20.50
S1;C2;B3;11.00
S1;C3;B1;20.10
S1;C3;B2;11.50
S1;C3;B3;10.20
S2;C1;B1;16.00
S2;C1;B2;26.90
S2;C1;B3;15.40
S2;C2;B1;21.70
S2;C2;B2;31.30
S2;C2;B3;22.00
S2;C3;B1;27.40
S2;C3;B2;30.80
S2;C3;B3;35.50
S3;C1;B1;21.60
S3;C1;B2;31.90
S3;C1;B3;21.10
S3;C2;B1;40.20
S3;C2;B2;49.60
S3;C2;B3;40.30
S3;C3;B1;29.70
S3;C3;B2;40.50
S3;C3;B3;28.90
S4;C1;B1;27.40
S4;C1;B2;36.60
S4;C1;B3;28.20
S4;C2;B1;40.40
S4;C2;B2;50.00
S4;C2;B3;40.10
S4;C3;B1;33.70
S4;C3;B2;43.40
S4;C3;B3;33.10
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
